Manufacturer,Total_Sales_2015_2024,Market_Share_Percent
BOUNCE ELECTRIC 1 PVT LTD,9677,0.21889193225908826
U.P. TELELINKS LIMITED,9309,0.2105678410044283
VIJAYS COOLMAX PRIVATE LIMITED,9279,0.20988924660866795
UNIQUE ENTERPRISES,8834,0.19982342973822315
HERO ELECTRIC VEHICLE PVT LTD,8338,0.18860400239498581
AVL ELECTRIC VEHICLES PVT LTD,8309,0.1879480278124175
DELTA AUTOCORP LLP,8139,0.18410265956977567
NRJ ELECTRIC MOTOR VEHICLES PVT LTD,7948,0.17978227525010163
TOP TEAM MACHINES PVT LTD,7840,0.17733933542536445
SATHI MOTORS ELECTRIC VEHICLE PVT LTD,7641,0.1728379926001543
ZEOPLUS AXIS INDIA PVT. LTD.,7523,0.17016885464349704
SHRIRAJ ELECTRIC VEHICLES,7502,0.1696938385664648
GAYATRI ELECTRIC VEHICLES,6878,0.15557907513465008
ALTIER ELECTRIC VEHICLES PVT LTD,6814,0.15413140709036138
T U K INDUSTRIES,6667,0.1508062945511358
STAR BULL E MOTORS,6664,0.1507384351115598
KAPTECH INDIA PVT LTD,6628,0.1499241218366474
LOHIA AUTO INDUSTRIES,6533,0.14777523958340638
SSB INDISTRIES,6530,0.14770738014383034
PARAS INDUSTRIES,6513,0.14732284331956616
BATTRE ELECTRIC MOBLITY PVT LTD,6491,0.14682520742934194
BHAVE ELECTRIC VEHICLES PVT LTD,6252,0.14141907207645135
AMBIKA INDUSTRIES,6193,0.1400845030981227
MOVE STONE SERVICES PVT LTD,6087,0.1376868028997696
ATUT SANGAM,6067,0.13723440663592937
EULER MOTORS PVT LTD,5732,0.12965676921660577
PUBANG ETRON ELECTRIC MOTOR PVT LTD,5616,0.1270328708863325
QUANTUM ENERGY LTD.,5576,0.12612807835865206
EXIDE INDUSTRIES LTD,5547,0.12547210377608375
REEP INDUSTRIES PVT LTD,5494,0.12427325367690717
NEW ARCANA INDIA,5455,0.12339108096241877
MEW ELECTRICALS LIMITED,5315,0.12022430711553726
KUMAR ENGINEERING,5200,0.11762302859845601
A.V.AUTOMOTIVES PVT LTD,5132,0.11608488130139928
SUPERTECH EV LIMITED,5117,0.11574558410351914
INDIAN MOTORS,5061,0.11447887456476652
SRD RENEWABLES,5045,0.11411695755369435
CHETAK TECHNOLOGY LIMITED,4855,0.1098191930472123
GOPAL AUTO MOTORS PVT LTD,4836,0.10938941659656409
NIC TEST ACCOUNT-1,4792,0.10839414481611562
G & G AUTOMOTIVE,4735,0.107104815464171
BHM INDUSTRIES,4698,0.1062678823760666
MANITA CITY MOTORS LLP,4678,0.1058154861122264
CEEON INDIA,4600,0.10405114068324954
JAJODIA COMMODITIES PVT LTD,4543,0.10276181133130494
ATTOLENT AUTO GROUP PVT LTD,4504,0.10187963861681651
OM RAJ AUTOTECH LLP,4475,0.1012236640342482
DYS IMPEX PRIVATE LIMITED,4458,0.10083912720998403
M/S CHAMPION POLY PLAST,4435,0.10031887150656778
TI CLEAN MOBILITY PVT LTD,4413,0.09982123561634354
TWINKLE TRADCOM PVT LTD,4360,0.09862238551716697
SHIGAN EVOLTZ LTD,4346,0.09830570813247881
ALTIGREEN PROPULSION LABS PVT LTD,4312,0.09753663448395045
GOENKA ELECTRIC MOTOR VEHICLES PVT LTD,4293,0.09710685803330225
Y.C.ELECTRIC VEHICLE,4218,0.09541037204390145
KRISHNA ENGINEERING WORKS,4077,0.09222097838382792
HINDUSTAN MOTOR CORPORATION,4055,0.09172334249360369
HUNDAL INDUSTRIES,3984,0.09011733575697092
M.K. ENTERPRISES,3967,0.08973279893270673
DE EUSI MOTORS PVT LTD.,3909,0.08842084976757011
CONTINENTAL ENGINES PVT LTD,3909,0.08842084976757011
CITYGREEN AUTO & PETRO CHEMICALS (P) LTD,3892,0.08803631294330592
BYD INDIA PRIVATE LIMITED,3868,0.08749343742669766
TRISHIKA INDUSTRIES,3819,0.08638506658028915
DAVE EXIM PVT LTD,3798,0.08591005050325691
BIG BULL TRADER PVT LTD,3729,0.08434928339300818
GKON ELECTRIC MOTOR VEHICLES PVT LTD,3727,0.08430404376662415
E ROYCE MOTORS INDIA PVT LTD,3609,0.08163490580996688
HYUNDAI MOTOR INDIA LTD,3595,0.08131822842527874
KINETIC GREEN ENERGY P SOL LTD,3573,0.08082059253505448
NEEDLE EYE PLASTIC INDUSTRIES PVT LTD,3498,0.07912410654565369
AVON CYCLES LTD,3460,0.07826455364435728
IVOOMI INNOVATION PVT LTD,3449,0.07801573569924515
MINI METRO,3391,0.07670378653410853
GREENWHEELS AUTOMOBILE PVT LTD,3365,0.07611567139111625
ARCHIT ENTERPRISES,3266,0.07387630988510718
DIVYA ENTERPRISES,3242,0.07333343436849891
VRINDA ENTERPRISES,3168,0.07165956819229012
ELITE AUTO ENGINEERS PVT LTD,3153,0.07132027099440996
AMO MOBILITY SOLUTIONS PVT LTD,3151,0.07127503136802595
MAC AUTO INDIA,3087,0.06982736332373725
RUTBA PRODUCT PVT LTD,3072,0.06948806612585709
PARI METRO E RICKSHAW,3068,0.06939758687308906
DUKE AUTO INDIA,3001,0.06788205938922433
RGM BUSINESS PLUS PVT LTD,2970,0.067180845180272
A K GUPTA & CO.,2965,0.06706774611431195
AMPERE VEHICLES PVT LTD,2947,0.06666058947685574
PCA AUTOMOBILES INDIA PVT LTD,2866,0.06482838460830288
ECO SMART VEHICLES PVT LTD,2855,0.06457956666319076
TORK MOTORS PVT LTD,2840,0.06424026946531058
SUPER METRO INDUSTRIES,2837,0.06417241002573457
APSARA ENTERPRISE,2827,0.06394621189381446
KUKU AUTOMOTIVES,2812,0.06360691469593428
UNITED TRANSMOVERS PVT LTD,2791,0.06313189861890207
RAYON ENGINEERS,2782,0.06292832030017396
JS MOBILEON PVT LTD,2729,0.0617294702009974
AAHANA COMMERCE PVT LTD,2684,0.06071157860735692
VENUS AUTO WHEELS PVT LTD,2635,0.059603207760948386
BABA E-VEHICLES,2629,0.05946748888179632
SHAKTI AUTO GREEN,2602,0.058856753925612036
ELECTROTHERM (INDIA) LIMITED,2534,0.05731860662855529
GREEN IMPEX,2520,0.05700192924386714
JITENDRA TEMPO PARTS,2492,0.05636857447449084
JMT VEHICLES PVT LTD,2460,0.055644740452346506
SKYRIDE AUTOMOTIVE,2434,0.055056625309354214
ACCRETION POWER AUTOS,2430,0.05496614605658618
BAJAJ IMPLEMENTS PVT. LTD,2406,0.05442327053997791
VIMAL UNIVERSAL TRADE PVT LTD,2403,0.05435541110040188
SHRI NAMO ELECTRIC AUTOMOTIVE,2326,0.05261368548461706
TUFAN MOTORS PVT LTD,2321,0.052500586418657
SETH INDUSTRIAL CORPORATION,2312,0.052297008099928904
ENTICE IMPEX PVT LTD,2259,0.05109815800075233
APM AUTO SALES,2257,0.05105291837436832
ELECTROTHERM (I) LIMITED,2240,0.050668381550104134
ARNA ELECTRIC AUTO PVT LTD,2236,0.05057790229733609
SUPERECO AUTOMOTIVE CO,2202,0.04980882864880772
PARI E-VEHICLES,2161,0.048881416307935285
PLAUDIT TECHNO INDIA PVT LTD,2151,0.04865521817601517
BMW INDIA PVT LTD,2069,0.04680039349427029
BATTERY RICKSHAW SANGH,2021,0.04571464246105377
GREEN TECHNOLOGIES,1982,0.04483246974656535
BALI AUTO INDUSTRIES,1948,0.044063396098036986
LAWAT MOTORS LLP,1919,0.04340742151546867
SHIV OM INDIA,1904,0.04306812431758851
JAIDKA POWER SYSTEMS PVT LTD,1861,0.04209547235033205
ADIDEV TECHNOA PVT LTD,1840,0.04162045627329982
FEDE INDUSTRIES PVT LTD,1791,0.040512085426891296
EXTRA FAST SOLUTIONS,1755,0.03969777215197891
BAXY LTD,1752,0.03962991271240287
ECO FUEL SYSTEMS (I) PVT LTD,1750,0.03958467308601885
HIM TEKNOFORGE LTD,1745,0.0394715740200588
SSEV ENTERPRISES PRIVATE LIMITED,1727,0.039064417382602606
CHAUHAN AUTO INDUSTRIES,1699,0.038431062613226305
HOVEL CYLINDER PVT LTD,1696,0.03836320317365027
ZENTHIUM EV PVT LTD,1671,0.03779770784385
AADHYA ENTERPRISES,1649,0.037300071953625766
AUTOHAUS PRIVATE LIMITED,1575,0.035626205777416965
ATTOLENT AUTOGROUP PVT LTD,1569,0.0354904868982649
SHEMA E- VEHCILE & SOLAR PVT LTD,1568,0.03546786708507289
MAHTAB BODY MAKER,1561,0.035309528392728814
HI-TECH INDUSTRIES,1559,0.03526428876634479
NHD MOTORS,1547,0.034992851008040664
SAMRAT ELECTRIC VEHICLE,1546,0.034970231194848655
RCJ AUTO FORGE PVT LTD,1475,0.03336422445821589
NIPUN SANYANTRA PVT LTD,1465,0.03313802632629578
ELTHOR ENERGY PRIVATE LIMITED,1449,0.03277610931522361
HOP MOTORS PVT LTD,1446,0.03270824987564758
KIRTI SOLAR LTD,1427,0.03227847342499937
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),1416,0.03202965547988726
AUTOLITE (INDIA) LIMITED,1379,0.031192722391782855
SUMFONL AUTO TRADERS PVT LTD,1370,0.030989144073054756
LOHIA AUTO INDUSTRIES LTD.,1368,0.03094390444667074
R3 ENTERPRISES,1349,0.030514127996022534
CHEHAK BATTERIES,1294,0.029270038270461943
E-MOTION AUTOMOTIVE INDUSTRY LLP,1292,0.02922479864407792
ADITYA SAI INDUSTRIES,1290,0.029179559017693896
OK PLAY INDIA LTD,1289,0.029156939204501884
JAISIK BUSINESS LINKS PVT LTD,1287,0.029111699578117867
SAKSHAM TRADING COMPANY,1280,0.028953360885773792
JIJO ELECTRIC WHEELS PVT LTD,1240,0.028048568358093356
BENTINCK INDUSTRIES PVT. LTD.,1236,0.027958089105325313
RIVER MOBILITY PVT LTD,1226,0.027731890973405206
SONI E VEHICLE PVT LTD,1225,0.027709271160213197
RSD SECURITY SOLUTIONS PVT LTD,1195,0.027030676764452873
SHALYA AUTO SALES PVT LTD,1190,0.026917577698492817
STAR IGLOBAL AUTOMOTIVE PVT LTD,1189,0.02689495788530081
AKG INTERNATIONAL,1186,0.026827098445724774
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,1183,0.026759239006148742
DIAMOND E VEHICLES,1179,0.0266687597533807
RANA ENGINEER WORKS,1179,0.0266687597533807
CHANDANA CORPORATION,1166,0.02637470218188456
MANIRAM ELECTRIC VEHICLE PVT LTD,1152,0.02605802479719641
JESSUN TECHNO PVT LTD,1127,0.025492529467396143
AUTOECO GREEN ENERGY PVT LTD,1123,0.0254020502146281
ASHMA-MOTORS PVT LTD,1122,0.025379430401436087
DD AUTO PVT LTD,1114,0.0251984718959
3EV INDUSTRIES PVT LTD,1098,0.02483655488482783
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,1095,0.024768695445251794
3S INDUSTRIES PRIVATE LIMITED,1073,0.02427105955502756
PRIDE E-MOTORS,1057,0.023909142543955385
ANKUSH AUTO DEALS,1048,0.02370556422522729
SIWACH STEEL PVT LTD,1047,0.02368294441203528
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,1017,0.023004350016274953
KGN,1016,0.022981730203082945
PYTHOX MOTORS PVT LTD,1007,0.02277815188435485
KGN INDUSTRIES,999,0.022597193378818763
GURUKIRPA INDUSTRIES,988,0.022348375433706644
NDS ECO MOTORS PVT LTD,975,0.0220543178622105
SUPREME SMART POWER PVT LTD,961,0.02173764047752235
NUMEROS MOTORS PVT LTD,958,0.02166978103794632
KINETIC MOTOR COMPANY LIMITED,944,0.021353103653258168
MALI ENTERPRISES PVT LTD,938,0.021217384774106104
RIBAND ELECTRIC PVT LTD,937,0.021194764960914093
VOLVO AUTO INDIA PVT LTD,922,0.020855467763033934
SPEEGO VEHICLES PVT. LTD,922,0.020855467763033934
K T ENTERPRISES,922,0.020855467763033934
S.V AUTOMOTIVE,913,0.020651889444305835
OM BALAJI AUTOMOBILES I P LTD,912,0.020629269631113823
KETO MOTORS PVT LTD,909,0.02056141019153779
KRISHNA VEHICALS,905,0.02047093093876975
UNIQUE AUTO ELECTRIC,900,0.020357831872809696
ROARLEO MOTOR PVT LTD,896,0.020267352620041652
GAGAN AUTOMOTIVES,891,0.020154253554081597
AMAN ELECTRIC VEHICLES,889,0.020109013927697577
TAURUS ELECTRIC VEHICLES,885,0.020018534674929533
EXTREME MOTORS,872,0.019724477103433394
KALPVRIKSH ELECTOMOBILES CO,863,0.019520898784705296
OM INDUSTRIES,860,0.019453039345129264
HARSH TRADING CO,858,0.019407799718745244
APARNA INDUSTRIES,857,0.019385179905553232
ENGTIAN ELECTRIC BIKE PVT LTD,850,0.019226841213209157
BESTWAY AGENCIES PVT LTD,841,0.01902326289448106
MANISH EV INTERNATIONAL PRIVATE LIMITED,829,0.01875182513617693
OGATA MOTORS INDIA PVT LTD,826,0.018683965696600895
EVTRIC MOTORS PVT LTD,825,0.018661345883408887
KIA INDIA PRIVATE LIMITED,825,0.018661345883408887
KALINGA VENTURES INDIA PVT LTD,817,0.0184803873778728
REPUBLIC MOTORS,794,0.017960131674456554
EFEV CHARGING SOLUTION PVT LTD,778,0.01759821466338438
KYTE ENERGY PVT. LTD.,776,0.01755297503700036
EVEX AUTO INDIA PVT LTD,768,0.017372016531464272
UMA MOTORS,761,0.017213677839120197
DIVANSU AUTOMOBILES LTD,752,0.017010099520392098
CART INDIA,738,0.01669342213570395
MERCEDES -BENZ AG,734,0.016602942882935907
EPOWER VEHICLES PVT LTD,727,0.016444604190591832
URWASHI ENTERPRISES,719,0.016263645685055745
SHREE MARUTI NANDAN BUSINESSS (P) LTD,719,0.016263645685055745
RAMON INDUSTRIES,718,0.016241025871863733
V.T. ENGINEERING,714,0.016150546619095693
WUXI SAIGE (IMPORTER: WARIVO MOTOR),709,0.016037447553135638
SN SOLAR ENERGY,708,0.01601482773994363
B24 ROKET EV,691,0.015630290915679444
S AND J INDUSTRIES,689,0.015585051289295423
SINGH AUTOMOBILES,681,0.015404092783759336
AADITYA EMOTORS INDIA PVT LTD,669,0.015132655025455207
SHRI RAM AUTO TECH PVT LTD,664,0.015019555959495154
PACE AGRO PRIVATE LIMITED,663,0.014996936146303142
TSM ENGINEERING PVT LTD,655,0.014815977640767055
ODYSSE ELECTRIC VEHICLES PVT LTD,647,0.014635019135230971
KHEMRAJ AUTOMOTIVE INDUSTRIES,645,0.014589779508846948
REFLEX CONTROL SYSTEM PVT .LTD,644,0.014567159695654938
VIJAYSHREE AUTOCOM LIMITED,638,0.014431440816502872
SIMPLEENERGY PVT LTD,633,0.014318341750542819
VIJAYA ELECTRIC AUTO PVT LTD,622,0.014069523805430702
PARVEEN AUTO,619,0.014001664365854668
GODAWARI ELECTRIC MOTORS PVT LTD,612,0.013843325673510591
RAHUL AGRO EXPORTS PVT LTD,605,0.013684986981166516
ARMAN GREEN VEHICLES PVT LTD,599,0.013549268102014452
ANJALI TRADERS,597,0.013504028475630432
DASHMESH TRADERS,597,0.013504028475630432
DHAR INTERNATIONAL,596,0.01348140866243842
OMEGA SALES & AGRO INDUSTRIES,588,0.013300450156902333
BAL GOPAL WHEELS PVT LTD,588,0.013300450156902333
A P I MOTORS PVT LTD,582,0.01316473127775027
SAKSHAM TECH AUTOMOBILES,579,0.013096871838174238
HYKON INDIA LTD,573,0.012961152959022174
RASANDIK ENGINEERING INDUSTRIES INDIA LTD,569,0.012870673706254129
GREEN STAR MOTORS,569,0.012870673706254129
LAKSHYA AUTO SALES CORPORATION,564,0.012757574640294075
M/S HOVEL CYLINDER PVT LTD,561,0.012689715200718044
WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),557,0.01259923594795
V.V.A.AUTO INDUSTRIES PVT.LTD,556,0.012576616134757988
E-ASHWA AUTOMOTIVE PVT LTD,555,0.01255399632156598
G.K E-VEHICLS INDUSTRIES PVT LTD,553,0.012508756695181958
INDIA SAFE ENTERPRISE,533,0.012056360431341742
ROWWET MOBILITY PVT LTD,532,0.012033740618149732
SINGHAL ENTERPRISES,518,0.01171706323346158
GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,515,0.011649203793885548
KHALSA  AGRO INDUSTRIES,502,0.011355146222389407
OZOTEC AUTOMOBILE PRIVATE LIMITED,500,0.011309906596005385
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),498,0.011264666969621365
MOTRAC MOTORS PVT LTD,494,0.011174187716853322
NIRMAL UTILITY SERVICES PVT LTD,485,0.010970609398125225
NEXZU MOBILITY PVT LTD,483,0.010925369771741203
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,483,0.010925369771741203
ELECTRECA VEHICLES,479,0.01083489051897316
RAVI METAL WORKS,472,0.010676551826629084
JAYDEV ENTERPRISE,469,0.010608692387053052
WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),460,0.010405114068324955
DAO EVTECH PRIVATE LIMITED,457,0.010337254628748923
VEECTERO E VEHICLES LLP,455,0.010292015002364902
SHINE METAL UDYOG PVT LTD (UNIT- II),454,0.01026939518917289
YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),450,0.010178915936404848
LOTEY AGRO INDUSTRY,448,0.010133676310020826
SONI E VEHICLES PVT LTD,447,0.010111056496828814
E-SPRINTO GREEN ENERGY PVT LTD,447,0.010111056496828814
JAIN POWER CORP,446,0.010088436683636804
GREEN VALLEY MOTORS,437,0.009884858364908707
SYNDICATE AUTO COMPONENTS,437,0.009884858364908707
ATUL GREENTECH PRIVATE LIMITED,435,0.009839618738524685
RAJESH STEEL AND WIRE INDUSTRIES,431,0.009749139485756644
AMBIKA ENTERPRISES,430,0.009726519672564632
XXPLORE AUTOMOTIVE PVT. LIMITED,427,0.0096586602329886
JADE KOREA SPINE LIFE,420,0.009500321540644525
NISSAN MOTOR INDIA PVT LTD,420,0.009500321540644525
WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),418,0.009455081914260503
LORDS VEHICLE MFG PVT LTD,418,0.009455081914260503
UMA  AUTO INDUSTRIES PVT. LTD,417,0.009432462101068491
JUNO CASTINGS PVT LTD,412,0.00931936303510844
MAA KALPANA ENTERPRISE,411,0.009296743221916428
SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,409,0.009251503595532406
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,405,0.009161024342764362
AUDI AG,402,0.00909316490318833
MERCEDES-BENZ INDIA PVT LTD,399,0.009025305463612299
EVCO AUTOMOBILES PVT LTD,398,0.009002685650420287
M K ENTERPRISES,396,0.008957446024036265
CAPARO AUTOTECH LIMITED,394,0.008912206397652245
U P TELELINKS LTD,390,0.008821727144884202
GODAWARI TECHNO SOLUTIONS PVT LTD,389,0.00879910733169219
M G INDUSTRIES,385,0.008708628078924148
HUNDA EV PVT LTD,380,0.008595529012964093
VISHWAKARMA GNG INDUSTRY,378,0.008550289386580073
ENGINIA VEHICLES PVT LTD,377,0.00852766957338806
BALAN ENGINEERING PVT LTD,376,0.008505049760196049
HOP ELECTRIC MOBILITY PVT LTD,374,0.008459810133812029
CLH GASEOUS FUEL APPL PVT LTD,373,0.008437190320620017
AFTEK MOTORS INDIA PVT LTD,367,0.008301471441467954
NISIKI TECHNOLOGIES PVT LTD,366,0.008278851628275944
SOKUDO ELECTRIC INDIA PVT LTD,364,0.00823361200189192
HITEK ELECTRIC AUTO CO,364,0.00823361200189192
PRAG MOTORS,364,0.00823361200189192
ADRIS ELECTRIC PVT LTD,360,0.008143132749123878
WELKIN HEALTHCARE PVT LTD,355,0.008030033683163823
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),351,0.007939554430395781
KCAS ELECTRIC VEHICLES PVT LTD,349,0.00789431480401176
AMAN AUTOMOBILES,348,0.00787169499081975
ETRIO AUTOMOBILES PVT LTD,345,0.007803835551243717
ASHA IMPEX,343,0.007758595924859695
HONDA CARS INDIA LTD,343,0.007758595924859695
WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),341,0.007713356298475673
E-GURU AUTO ENERGY,339,0.007668116672091652
RAJ AUTOMOTIVE,339,0.007668116672091652
S S GLOBAL,334,0.007555017606131598
A3T INCORPORTED,333,0.007532397792939587
DELTEK ENTERPRISES PVT LTD,332,0.007509777979747577
AJAY MOTORS PRIVATE LIMITED,332,0.007509777979747577
FIVE ELEMENTS,331,0.007487158166555565
VISHAL ENTERPRISES,330,0.007464538353363554
PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),326,0.0073740591005955125
ULTRAVIOLETTE AUTOMOTIVE PVT LTD,325,0.007351439287403501
MARUTHISAN PVT LTD,321,0.007260960034635457
GURU JI WHEELS,320,0.007238340221443448
NIKHIL FURNITURES,320,0.007238340221443448
POOSHPAK AUTOMOBILES PVT LTD,317,0.007170480781867415
J S MOBILEON PVT LTD,314,0.007102621342291383
SUNULTRA POWER SOLUTIONS PVT LTD,313,0.007080001529099372
GOENKA ELECTRIC MOTOR VEH P L,312,0.007057381715907361
NAMAH INDUSTRIES PVT LTD,306,0.0069216628367552956
KABIRA MOBILITY LLP,304,0.006876423210371275
KERALA AUTOMOBILES LIMITED,302,0.006831183583987254
WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),295,0.006672844891643178
SEN AND PANDIT VOLTAGE CONTROL PVT LTD,291,0.006582365638875135
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),289,0.006537126012491113
MOHAN GENERAL TRADING COMPANY,289,0.006537126012491113
DSF INDUSTRIES PVT LTD,289,0.006537126012491113
MLR AUTO LTD,289,0.006537126012491113
DEV MOTORS,287,0.006491886386107091
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,284,0.006424026946531059
GREEN EVOLVE PVT LTD,283,0.006401407133339049
SHINME ELECTRICAL VEHICLE PVT LTD,283,0.006401407133339049
SGLLINE MOTORS PVT LTD,282,0.006378787320147038
MECPOWER MOBILITY PVT. LTD.,282,0.006378787320147038
ADM TECHNOLOGIES PVT. LTD.,280,0.006333547693763017
GREEN KAIKETSU AUTOMATIVE IND,277,0.006265688254186984
PRAKASH ENTERPRISES,275,0.006220448627802962
KAMAZ INDUSTRIES,275,0.006220448627802962
PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,274,0.006197828814610952
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,273,0.0061752090014189406
J P AUTO TECH,273,0.0061752090014189406
INS AUTOMOBILES PVT LTD,272,0.00615258918822693
AYAAN ELECTRONIC PVT LTD,271,0.00612996937503492
OBEN ELECTRIC VEHICLES PVT LTD,267,0.006039490122266876
NABH MOTORS PVT LTD,265,0.005994250495882854
HONGKONG YIXING (IMPORTER: ADMS MARKETING),261,0.005903771243114812
SHRI BALAJI ENTERPRISES,260,0.005881151429922801
SMART ELECTRO MOTORS,260,0.005881151429922801
KUMARAN ENGINEERING ENTERPRISES,259,0.00585853161673079
YAARI AUTOMOBILES PVT LTD,258,0.00583591180353878
MANMOHAN KAUR,253,0.005722812737578725
OMJAY EV LIMITED,252,0.0057001929243867145
ROYCE EV PVT LTD,246,0.00556447404523465
MONDAL TRADING,246,0.00556447404523465
IRA EDUTECH PVT LTD,239,0.005406135352890575
EDMRC MANNSCHAFT LLP,239,0.005406135352890575
M2J E VAHAN PVT LTD,234,0.00529303628693052
TEJASGREEN AUTOMOTIVE PVT LTD,231,0.0052251768473544884
WUXI TENGHUI (IMPORTER: FLYCON MOTORS),229,0.005179937220970467
THE COMMERCIAL MOTORS LIMITED,226,0.005112077781394435
EXERVAL PVT LTD,223,0.005044218341818402
SIRF INDIA VEHICLES PVT LTD,222,0.005021598528626391
MAHI ENTERPRISES,217,0.004908499462666338
DYNAVOLT TECHNOLOGY INDIA LTD,215,0.004863259836282316
ZAP (HK) (IMPORTER: IZANAU ELECTRIC),211,0.004772780583514272
