Maker,Total_Sales_2015_2024
PARI E-VEHICLES,2161
PLAUDIT TECHNO INDIA PVT LTD,2151
BMW INDIA PVT LTD,2069
BATTERY RICKSHAW SANGH,2021
GREEN TECHNOLOGIES,1982
BALI AUTO INDUSTRIES,1948
LAWAT MOTORS LLP,1919
SHIV OM INDIA,1904
JAIDKA POWER SYSTEMS PVT LTD,1861
ADIDEV TECHNOA PVT LTD,1840
FEDE INDUSTRIES PVT LTD,1791
EXTRA FAST SOLUTIONS,1755
BAXY LTD,1752
ECO FUEL SYSTEMS (I) PVT LTD,1750
HIM TEKNOFORGE LTD,1745
SSEV ENTERPRISES PRIVATE LIMITED,1727
CHAUHAN AUTO INDUSTRIES,1699
HOVEL CYLINDER PVT LTD,1696
ZENTHIUM EV PVT LTD,1671
AADHYA ENTERPRISES,1649
AUTOHAUS PRIVATE LIMITED,1575
ATTOLENT AUTOGROUP PVT LTD,1569
SHEMA E- VEHCILE & SOLAR PVT LTD,1568
MAHTAB BODY MAKER,1561
HI-TECH INDUSTRIES,1559
NHD MOTORS,1547
SAMRAT ELECTRIC VEHICLE,1546
RCJ AUTO FORGE PVT LTD,1475
NIPUN SANYANTRA PVT LTD,1465
ELTHOR ENERGY PRIVATE LIMITED,1449
HOP MOTORS PVT LTD,1446
KIRTI SOLAR LTD,1427
JIANGSU ZHEENAIDA (IMPORTER: KLB GLOBAL),1416
AUTOLITE (INDIA) LIMITED,1379
SUMFONL AUTO TRADERS PVT LTD,1370
LOHIA AUTO INDUSTRIES LTD.,1368
R3 ENTERPRISES,1349
CHEHAK BATTERIES,1294
E-MOTION AUTOMOTIVE INDUSTRY LLP,1292
ADITYA SAI INDUSTRIES,1290
OK PLAY INDIA LTD,1289
JAISIK BUSINESS LINKS PVT LTD,1287
SAKSHAM TRADING COMPANY,1280
JIJO ELECTRIC WHEELS PVT LTD,1240
BENTINCK INDUSTRIES PVT. LTD.,1236
RIVER MOBILITY PVT LTD,1226
SONI E VEHICLE PVT LTD,1225
RSD SECURITY SOLUTIONS PVT LTD,1195
SHALYA AUTO SALES PVT LTD,1190
STAR IGLOBAL AUTOMOTIVE PVT LTD,1189
AKG INTERNATIONAL,1186
KABMAX ELECTRIC AUTOMOBILES PVT. LTD,1183
DIAMOND E VEHICLES,1179
RANA ENGINEER WORKS,1179
CHANDANA CORPORATION,1166
MANIRAM ELECTRIC VEHICLE PVT LTD,1152
JESSUN TECHNO PVT LTD,1127
AUTOECO GREEN ENERGY PVT LTD,1123
ASHMA-MOTORS PVT LTD,1122
DD AUTO PVT LTD,1114
3EV INDUSTRIES PVT LTD,1098
FIRST CHOICE ELECTRIC VEHICLES PVT LTD,1095
3S INDUSTRIES PRIVATE LIMITED,1073
PRIDE E-MOTORS,1057
ANKUSH AUTO DEALS,1048
SIWACH STEEL PVT LTD,1047
BOOMA INNOVATIVE TRANSPORT SULUTIONS PVT LTD,1017
KGN,1016
PYTHOX MOTORS PVT LTD,1007
KGN INDUSTRIES,999
GURUKIRPA INDUSTRIES,988
NDS ECO MOTORS PVT LTD,975
SUPREME SMART POWER PVT LTD,961
NUMEROS MOTORS PVT LTD,958
KINETIC MOTOR COMPANY LIMITED,944
MALI ENTERPRISES PVT LTD,938
RIBAND ELECTRIC PVT LTD,937
VOLVO AUTO INDIA PVT LTD,922
SPEEGO VEHICLES PVT. LTD,922
K T ENTERPRISES,922
S.V AUTOMOTIVE,913
OM BALAJI AUTOMOBILES I P LTD,912
KETO MOTORS PVT LTD,909
KRISHNA VEHICALS,905
UNIQUE AUTO ELECTRIC,900
ROARLEO MOTOR PVT LTD,896
GAGAN AUTOMOTIVES,891
AMAN ELECTRIC VEHICLES,889
TAURUS ELECTRIC VEHICLES,885
EXTREME MOTORS,872
KALPVRIKSH ELECTOMOBILES CO,863
OM INDUSTRIES,860
HARSH TRADING CO,858
APARNA INDUSTRIES,857
ENGTIAN ELECTRIC BIKE PVT LTD,850
BESTWAY AGENCIES PVT LTD,841
MANISH EV INTERNATIONAL PRIVATE LIMITED,829
OGATA MOTORS INDIA PVT LTD,826
EVTRIC MOTORS PVT LTD,825
KIA INDIA PRIVATE LIMITED,825
KALINGA VENTURES INDIA PVT LTD,817
REPUBLIC MOTORS,794
EFEV CHARGING SOLUTION PVT LTD,778
KYTE ENERGY PVT. LTD.,776
EVEX AUTO INDIA PVT LTD,768
UMA MOTORS,761
DIVANSU AUTOMOBILES LTD,752
CART INDIA,738
MERCEDES -BENZ AG,734
EPOWER VEHICLES PVT LTD,727
URWASHI ENTERPRISES,719
SHREE MARUTI NANDAN BUSINESSS (P) LTD,719
RAMON INDUSTRIES,718
V.T. ENGINEERING,714
WUXI SAIGE (IMPORTER: WARIVO MOTOR),709
SN SOLAR ENERGY,708
B24 ROKET EV,691
S AND J INDUSTRIES,689
SINGH AUTOMOBILES,681
AADITYA EMOTORS INDIA PVT LTD,669
SHRI RAM AUTO TECH PVT LTD,664
PACE AGRO PRIVATE LIMITED,663
TSM ENGINEERING PVT LTD,655
ODYSSE ELECTRIC VEHICLES PVT LTD,647
KHEMRAJ AUTOMOTIVE INDUSTRIES,645
REFLEX CONTROL SYSTEM PVT .LTD,644
VIJAYSHREE AUTOCOM LIMITED,638
SIMPLEENERGY PVT LTD,633
VIJAYA ELECTRIC AUTO PVT LTD,622
PARVEEN AUTO,619
GODAWARI ELECTRIC MOTORS PVT LTD,612
RAHUL AGRO EXPORTS PVT LTD,605
ARMAN GREEN VEHICLES PVT LTD,599
ANJALI TRADERS,597
DASHMESH TRADERS,597
DHAR INTERNATIONAL,596
OMEGA SALES & AGRO INDUSTRIES,588
BAL GOPAL WHEELS PVT LTD,588
A P I MOTORS PVT LTD,582
SAKSHAM TECH AUTOMOBILES,579
HYKON INDIA LTD,573
RASANDIK ENGINEERING INDUSTRIES INDIA LTD,569
GREEN STAR MOTORS,569
LAKSHYA AUTO SALES CORPORATION,564
M/S HOVEL CYLINDER PVT LTD,561
WUXI TENGHUI (IMPORTER: HOP ELECTRIC MOBILITY),557
V.V.A.AUTO INDUSTRIES PVT.LTD,556
E-ASHWA AUTOMOTIVE PVT LTD,555
G.K E-VEHICLS INDUSTRIES PVT LTD,553
INDIA SAFE ENTERPRISE,533
ROWWET MOBILITY PVT LTD,532
SINGHAL ENTERPRISES,518
GREEN KAIKETSU AUTOMOTIVE INDIA PVT LTD,515
KHALSA  AGRO INDUSTRIES,502
OZOTEC AUTOMOBILE PRIVATE LIMITED,500
JIANGSU AIMA (IMPORTER: QUANTUM ENERGY),498
MOTRAC MOTORS PVT LTD,494
NIRMAL UTILITY SERVICES PVT LTD,485
NEXZU MOBILITY PVT LTD,483
ECO-FRIENDLY ELECTRIC VEHICLE PVT LTD,483
ELECTRECA VEHICLES,479
RAVI METAL WORKS,472
JAYDEV ENTERPRISE,469
WUXI TENGHUI (IMPORTER: SEEKA E MOTORS),460
DAO EVTECH PRIVATE LIMITED,457
VEECTERO E VEHICLES LLP,455
SHINE METAL UDYOG PVT LTD (UNIT- II),454
YOUYAKU ELECTRIC (IMPORTER:IME VEHICLES PVT LTD),450
LOTEY AGRO INDUSTRY,448
SONI E VEHICLES PVT LTD,447
E-SPRINTO GREEN ENERGY PVT LTD,447
JAIN POWER CORP,446
GREEN VALLEY MOTORS,437
SYNDICATE AUTO COMPONENTS,437
ATUL GREENTECH PRIVATE LIMITED,435
RAJESH STEEL AND WIRE INDUSTRIES,431
AMBIKA ENTERPRISES,430
XXPLORE AUTOMOTIVE PVT. LIMITED,427
JADE KOREA SPINE LIFE,420
NISSAN MOTOR INDIA PVT LTD,420
WUXI TOURWE (IMPORTER: GOREEN E-MOBILITY),418
LORDS VEHICLE MFG PVT LTD,418
UMA  AUTO INDUSTRIES PVT. LTD,417
JUNO CASTINGS PVT LTD,412
MAA KALPANA ENTERPRISE,411
SUDHRAJ ELECTRIC MOBILITY PVT. LTD.,409
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,405
AUDI AG,402
MERCEDES-BENZ INDIA PVT LTD,399
EVCO AUTOMOBILES PVT LTD,398
M K ENTERPRISES,396
CAPARO AUTOTECH LIMITED,394
U P TELELINKS LTD,390
GODAWARI TECHNO SOLUTIONS PVT LTD,389
M G INDUSTRIES,385
HUNDA EV PVT LTD,380
VISHWAKARMA GNG INDUSTRY,378
ENGINIA VEHICLES PVT LTD,377
BALAN ENGINEERING PVT LTD,376
HOP ELECTRIC MOBILITY PVT LTD,374
CLH GASEOUS FUEL APPL PVT LTD,373
AFTEK MOTORS INDIA PVT LTD,367
NISIKI TECHNOLOGIES PVT LTD,366
SOKUDO ELECTRIC INDIA PVT LTD,364
HITEK ELECTRIC AUTO CO,364
PRAG MOTORS,364
ADRIS ELECTRIC PVT LTD,360
WELKIN HEALTHCARE PVT LTD,355
JUNENG MOTORCYCLE (IMPORTER: ISCOOT MOTERS),351
KCAS ELECTRIC VEHICLES PVT LTD,349
AMAN AUTOMOBILES,348
ETRIO AUTOMOBILES PVT LTD,345
ASHA IMPEX,343
HONDA CARS INDIA LTD,343
WUXI JIYAYI (IMPORTER: IZANAU ELECTRIC LLP),341
E-GURU AUTO ENERGY,339
RAJ AUTOMOTIVE,339
S S GLOBAL,334
A3T INCORPORTED,333
DELTEK ENTERPRISES PVT LTD,332
AJAY MOTORS PRIVATE LIMITED,332
FIVE ELEMENTS,331
VISHAL ENTERPRISES,330
PORFITEL TECHNOLOGY (IMPORTER: AERORIDE),326
ULTRAVIOLETTE AUTOMOTIVE PVT LTD,325
MARUTHISAN PVT LTD,321
GURU JI WHEELS,320
NIKHIL FURNITURES,320
POOSHPAK AUTOMOBILES PVT LTD,317
J S MOBILEON PVT LTD,314
SUNULTRA POWER SOLUTIONS PVT LTD,313
GOENKA ELECTRIC MOTOR VEH P L,312
NAMAH INDUSTRIES PVT LTD,306
KABIRA MOBILITY LLP,304
KERALA AUTOMOBILES LIMITED,302
WUXI SAIGE ELECTRIC (IMPORTER: DELTA AUTOCORP LLP),295
SEN AND PANDIT VOLTAGE CONTROL PVT LTD,291
CHINA HAOCHEN (IMPORTER: ADMS MARKETING),289
MOHAN GENERAL TRADING COMPANY,289
DSF INDUSTRIES PVT LTD,289
MLR AUTO LTD,289
DEV MOTORS,287
GRAM TARANG EMPLOYABILITY TRAINNING SERVICES P LTD,284
GREEN EVOLVE PVT LTD,283
SHINME ELECTRICAL VEHICLE PVT LTD,283
SGLLINE MOTORS PVT LTD,282
MECPOWER MOBILITY PVT. LTD.,282
ADM TECHNOLOGIES PVT. LTD.,280
GREEN KAIKETSU AUTOMATIVE IND,277
PRAKASH ENTERPRISES,275
KAMAZ INDUSTRIES,275
PRAAKARM AUTO & CONSTRUCTION EQUIPMENTS,274
JAI SRI RAM ELECTRIC VEHICLE MANUFACTURING PVT LTD,273
J P AUTO TECH,273
INS AUTOMOBILES PVT LTD,272
AYAAN ELECTRONIC PVT LTD,271
OBEN ELECTRIC VEHICLES PVT LTD,267
NABH MOTORS PVT LTD,265
HONGKONG YIXING (IMPORTER: ADMS MARKETING),261
SHRI BALAJI ENTERPRISES,260
SMART ELECTRO MOTORS,260
KUMARAN ENGINEERING ENTERPRISES,259
YAARI AUTOMOBILES PVT LTD,258
MANMOHAN KAUR,253
OMJAY EV LIMITED,252
ROYCE EV PVT LTD,246
MONDAL TRADING,246
IRA EDUTECH PVT LTD,239
EDMRC MANNSCHAFT LLP,239
M2J E VAHAN PVT LTD,234
TEJASGREEN AUTOMOTIVE PVT LTD,231
WUXI TENGHUI (IMPORTER: FLYCON MOTORS),229
THE COMMERCIAL MOTORS LIMITED,226
EXERVAL PVT LTD,223
SIRF INDIA VEHICLES PVT LTD,222
MAHI ENTERPRISES,217
DYNAVOLT TECHNOLOGY INDIA LTD,215
ZAP (HK) (IMPORTER: IZANAU ELECTRIC),211
PATS MOTOR CORP,210
ZOHAN TRADERS AND BIG METRO,210
PORSCHE AG GERMANY,210
MOMU AUTOMOTIVE,210
HAARISH AUTOMOTIVES (OPC) PRIVATE LIMITED,210
SARAVANA ENGINEERING WORKS,208
BIJNOR ENTERPRISES,208
SUN INDUSTRIES,207
GALVANIC AUTO PVT LTD,207
ALTIUS TECHNOLOGIES,206
TRINITY ELECTRIC VEHICLES PVT LTD,201
PANTHER ELECTRIC VEHICLES,201
BHADAURIA ENTERPRISES,200
SAINIK CYCLE MART,196
ECO DYNAAMIC EQUIPMENTS,195
LIONIZE AUTOMOBILE PVT LTD,194
YOUYAKU ELECTRIC (IMPORTER: HOUSTAN INNOVATION),191
SPEEDWAYS ELECTRIC,190
ALLENTTI MOTORS PVT LTD,190
GOODENERGY INDIA PVT LTD,188
A K AUTTO ELECTRICAL,182
YOUYAKU ELECTRIC (IMPORTER: SASDAL ENTERPRISES),181
GREEN WHEELZ (INDIA),180
CYRUS AUTO INDUSTRIES PVT LTD,180
INVVIGORS INDIA,178
DIVANSHU AUTOMOBILES LIMITED,176
CHARUVIKRAM AUTOMOBILE PVT LTD,174
VICTORIA E VEHICLES PVT. LTD,173
GREENFIT INDUSTRIES LLP,172
ELEPHANTA INDUSTRIES PVT LTD,172
KALIKA VAHAN PVT LTD,170
ARD EXIM,170
GOODWILL HI PRECISION WORKS PVT LTD,169
FIADO INDUSTRIES PVT LTD,169
KIRAN AUTOMOBILE INDUSTRY,168
WHITE CARBON MOTORS PVT LTD,165
A.R. MOTOR,164
C M OVERSEAS,164
GAURA ELECTRIC VEHICLES PVT LTD,163
RICHFORD ALLIANZ PVT LTD,162
GREEN SHUTTLE TECHNOLOGY PVT LTD,162
SRIVARU MOTORS PVT LTD,161
HERCULES CRANE PVT.LTD.,161
TRUPART AUTOMOTIVE INDIA PVT LTD,157
YANGGUANG LINGMU (IMPORTER: FLYCON MOTORS),157
SETHJI INDUSTRIES,154
ELECTRA INTERNATIONAL,154
JAY ACE TECHNOLOGIES LTD,153
D S INDUSTRIES,151
KRISHNA INDUSTRIES,151
CITADEL ENTERPRISES(OPC) PVT LTD,150
TSR TRADE COM,148
VINCI INDUSTRIAL CORPORATION,147
PANSEN ENGINEERING INDIA PVT LTD,145
SKYY RIDER ELECTRIC PRIVATE LIMITED,144
VAHAK FUTURE SOLUTIONS LLP,141
RP MOTORS,139
JIANGSU XINRI E-VEHICLE(IMPORTER SWIFT CUR.TECH.),139
PRIYAM INDUSTRIES AND ENGINEERING PVT LTD,139
ANJALI AUTO COMPONENTS,138
DYS IMPEX PVT LTD,138
MOTOR & GENERAL SALES PVT LTD,137
VICTOR AGRO INDUSTRIES,137
SEALION AUTOMOBILE PVT LTD,134
GOGORO INDIA PVT LTD,133
MIRAKLE 5 AUTOMOBILES PVT LTD,132
SHAILENDRA AUTOS PVT LTD,131
ZESAR MOTORS PVT LTD,130
JAGUAR LAND ROVER INDIA LIMITED,129
RAJIV RAJ VEHICLES PVT LTD,127
ATUMOBILE PVT LTD,127
LUCKY INDUSTRIES,126
NGAGE WHEEL PVT LTD,124
K. V. INDUSTRIES,124
SUNANDA GREENTECH PVT LTD,123
XXPLORE AUTOMATIVE PVT LTD,122
BLIX CYCLES AND E-VEHICLES PVT LTD,122
KPT MOTORS,122
G WILLIAMS FABRICATIONS LTD,120
SIX SENSES AUTOMOTIVE PVT LTD,120
RASIWASIA RASAYAN PVT LTD,120
TUNWAL E MOTORS PVT LTD,119
CELLETRON MOTOR WORKS,119
ALTIUS EV TECH PVT LTD,118
GREENETICS INDUSTRIES PVT LTD,117
INDIA YAMAHA MOTOR PVT LTD,116
VISHALA E-VEHICLES INDUSTRIES PRIVATE LIMITED,115
YUVRAJ INTERNATIONAL,115
SPEED AUTO TECH,115
WASAN E-MOBILITY SOLUTIONS PVT LTD,113
PRAJJWAL MAHAJAN TRADERS,112
PRAGYA AUTOMOBILE PVT LTD,112
S B TRADERS,112
RDS INDUSTRIES,110
JAYEM AUTOMOTIVES PVT LTD,110
WOX COOLERS PVT LTD,109
SBTEK E MOTO PVT LTD,109
QICHENG VEHICLE (IMPORTER: AUTOICARE INNOVATION),109
SUPER POWER MOTORS,109
HERO ECO VEHICLES PVT LTD,108
EVAGE AUTOMOTIVE PVT LTD,107
VVA AUTO INDUSTRIES PVT LTD,107
XPLORE AUTOMOTIVE PVT LTD,107
ERISHA E MOBILITY PVT LTD,105
TYST DRIVE INDIA PVT LTD,104
YOUYAKU ELECTRIC (IMPORTER:NEWTRON ELECTRIC),103
MALAK TECHNO PVT LTD,102
HITECH INDUSTRIES,102
SVS ENTERPRISES,101
PRESTANTIA CREATIONS PVT LTD,101
GAYAM MOTOR WORKS PRIVATE LIMITED,101
ANCHI MOTORCYCLE (IMPORTER: YED ELECTRIC),100
DEVAM ELECTRIC VEHICLES PVT LTD,99
NEUON MOTORS LLP,99
JUNENG MOTORCYCLE (IMPORTER: ADMS MARKETING),98
ROYAL-ENFIELD (UNIT OF EICHER LTD),98
DEEP DRAWN TECHNOLOGIES,98
SHREYA ENGINEERS,97
IZANAU ELECTRIC LLP,96
U V MOTORS INDIA PVT LTD,95
TOYOTA KIRLOSKAR MOTOR PVT LTD,94
MICROCON I2I PVT LTD,94
WUXI SAIGE (IMPORTER: DM GREEN ENERGY),93
ALBEDO VISION PVT LTD,93
PAARTH SARTHI AUTOMOTIVE ENGINEERS PVT LTD,93
KAKKAR ELECTRIC AUTO PVT LTD,93
BAJAJ IMPLEMENTS PVT LTD,91
RACCOON MOTORS PVT LTD,89
VGLAN BUILDCON PRIVATE LIMITED,89
AVON CYCLE LTD INDIA,89
CREATIVE ENGINEERINGS,88
MALHOTRA  VEHICLE MANUFACTURING PVT LTD,88
LAXMI E-RICKSHAW COMPANY,87
RIYA ENTERPRISE,85
SWITCH MOBILITY AUTOMOTIVE LTD,85
GREENTECH AUTO LLP,83
SHREE SIRIDI SAI MINERAL & EXPORTS PVT. LTD,83
DHRITI ENTERPRISES,81
KANIFA AUTOMOTIVE PVT LTD,81
PURVA UDYOG PVT LTD,80
TARA MAA MACHINERY,80
SF2 E VEHICLE PVT LTD,79
HERO HONDA MOTORS  LTD,79
ANCHI MOTORCYCLE  (IMPORTER: ECOTRINITY AUTOMOBILE,79
ISUKII GREENS PVT LTD,79
BAGHWAN RIKSHAW UDYOG,78
FSTMOTO (IMPORTER: AUTOICARE INNOVATION),78
SANCHAL AUTOMOBILES PVT LTD,78
PASHUPATI VEHICLES PVT LTD,77
VOLMAC ENGINEERING PVT LTD,77
YC ELECTRIC VEHICLE PVT LTD,77
HANUMAN UDYOG,76
NB TURNED  COMPONENTS PVT LTD,76
PACE AGRO PVT LTD,76
ZHEJIANG LUYUAN (IMPORTER: DYNAM EV TECH),75
SUZUKI MOTORCYCLE INDIA PVT LTD,74
HITECH  MECHANICAL WORKS,73
LML LIMITED,73
SHIV ENTERPRISES,72
HOUSTAN INNOVATION LLP,72
BESTWAY BANARASH,72
CAPARO AUTOTECH LTD,71
NEELAM CYCLE,71
GOGORO (IMPORTER: GOGORO INDIA PRIVATE LTD),71
OLYMPUS INDUSTRIES PVT LTD,70
ZHEJIANG TIANYING  (IMPORTER: NEWTRON ELECTRIC),70
ZERO 21 RENEWABLE ENERGY SOLUTIONS PVT LTD,69
ROANSOME MOTORS,69
SWASTIK,68
GREEN TACK EMPALA ELECTRIC MOTOR COMPANY,68
NEW CHAWLA INDUSTRIES,67
SUNARIYA MOTORS PVT LTD,67
WUXI MAYA (IMPORTER: DYNAMO ELECTRIC P. LTD.),67
OM PACKAGING,67
A.J ENTERPRISES,66
SHIVA ENTERPRISES,65
EVBHARAT RANGE PRIVATE LIMITED,64
EEVEE ENGINEERING PVT LTD,64
MARKUS,64
VE COMMERCIAL VEHICLES LTD,64
KAINING (HONGKONG) (IMPORTER: ENIGMA AUTOMOBILES),63
M2GO ELECTRIC VEHICLE PVT LTD,63
LAWAT MOTORS,63
WUXI SAIGE ELECTRIC (IMPORTER: GLORIOUS DIGITAL),63
AADITYA GARBAGE PRODUCTS PVT LTD,62
SIARSA ELECTRICALS PVT LTD,62
NARAINDASS AND SONS,62
GOOD ENERGY INDIA,61
